[2014-07-29 19:57:23] {'PlayerId':640002973,'time':'1406635043','sceneId':'0'}
[2014-07-29 19:57:44] {'PlayerId':640002973,'time':'1406635064','sceneId':'0'}
[2014-07-29 19:58:00] {'PlayerId':640003025,'time':'1406635080','sceneId':'0'}
[2014-07-29 19:58:12] {'PlayerId':640002973,'time':'1406635092','sceneId':'0'}
[2014-07-29 20:01:55] {'PlayerId':640002973,'time':'1406635315','sceneId':'0'}
[2014-07-29 20:02:06] {'PlayerId':640002973,'time':'1406635326','sceneId':'0'}
[2014-07-29 20:02:18] {'PlayerId':640002973,'time':'1406635338','sceneId':'0'}
[2014-07-29 20:02:29] {'PlayerId':640002973,'time':'1406635349','sceneId':'0'}
[2014-07-29 20:02:42] {'PlayerId':640002973,'time':'1406635362','sceneId':'0'}
[2014-07-29 20:02:57] {'PlayerId':640002973,'time':'1406635377','sceneId':'0'}
[2014-07-29 20:03:33] {'PlayerId':640002973,'time':'1406635413','sceneId':'0'}
[2014-07-29 20:03:54] {'PlayerId':640002973,'time':'1406635434','sceneId':'0'}
[2014-07-29 20:04:11] {'PlayerId':640002973,'time':'1406635451','sceneId':'0'}
[2014-07-29 20:04:32] {'PlayerId':640002973,'time':'1406635472','sceneId':'0'}
[2014-07-29 20:04:54] {'PlayerId':640002973,'time':'1406635494','sceneId':'0'}
[2014-07-29 20:05:21] {'PlayerId':640002973,'time':'1406635521','sceneId':'0'}
[2014-07-29 20:05:25] {'PlayerId':640003025,'time':'1406635525','sceneId':'0'}
[2014-07-29 20:05:39] {'PlayerId':640002973,'time':'1406635539','sceneId':'0'}
[2014-07-29 20:06:10] {'PlayerId':640003025,'time':'1406635570','sceneId':'0'}
[2014-07-29 20:06:12] {'PlayerId':640002973,'time':'1406635572','sceneId':'0'}
[2014-07-29 20:06:44] {'PlayerId':640002973,'time':'1406635604','sceneId':'0'}
[2014-07-29 20:07:20] {'PlayerId':640002973,'time':'1406635640','sceneId':'0'}
[2014-07-29 20:08:07] {'PlayerId':640002973,'time':'1406635687','sceneId':'0'}
[2014-07-29 20:08:46] {'PlayerId':640002384,'time':'1406635726','sceneId':'0'}
[2014-07-29 20:08:59] {'PlayerId':640002384,'time':'1406635739','sceneId':'0'}
[2014-07-29 20:08:59] {'PlayerId':640002973,'time':'1406635739','sceneId':'0'}
